z,locations,text
5.241090298,CHN,China
5.195619106,CHN,China
5.303877831,CHN,China
5.32495594,CHN,China
6.024942875,COL,Colombia
6.138411522,COL,Colombia
6.168395042,COL,Colombia
6.271604538,COL,Colombia
6.40811348,COL,Colombia
6.463952541,COL,Colombia
6.374879837,COL,Colombia
6.606550694,COL,Colombia
6.44878912,COL,Colombia
6.387571812,COL,Colombia
6.233715057,COL,Colombia
3.47602725,COM,Comoros
3.81219101,COM,Comoros
3.838485956,COM,Comoros
3.955640316,COM,Comoros
7.082465172,CRI,Costa Rica
7.432132244,CRI,Costa Rica
6.850679874,CRI,Costa Rica
7.614928722,CRI,Costa Rica
7.271053791,CRI,Costa Rica
7.228888512,CRI,Costa Rica
7.272250175,CRI,Costa Rica
7.158000469,CRI,Costa Rica
7.247086048,CRI,Costa Rica
6.854004383,CRI,Costa Rica
7.135617733,CRI,Costa Rica
5.820907593,HRV,Croatia
5.433319569,HRV,Croatia
5.595575333,HRV,Croatia
5.385372639,HRV,Croatia
6.027634621,HRV,Croatia
5.885462761,HRV,Croatia
5.380692482,HRV,Croatia
5.205438137,HRV,Croatia
5.417868614,CUB,Cuba
6.237958431,CYP,Cyprus
6.833477497,CYP,Cyprus
6.386546135,CYP,Cyprus
6.689608574,CYP,Cyprus
6.180507183,CYP,Cyprus
5.438952446,CYP,Cyprus
5.627123833,CYP,Cyprus
5.439161301,CYP,Cyprus
5.794618607,CYP,Cyprus
6.439256668,CZE,Czech Republic
6.500194073,CZE,Czech Republic
6.249617577,CZE,Czech Republic
6.331490994,CZE,Czech Republic
6.334149361,CZE,Czech Republic
6.697655678,CZE,Czech Republic
6.483729839,CZE,Czech Republic
6.608017445,CZE,Czech Republic
6.735627174,CZE,Czech Republic
8.01893425,DNK,Denmark
7.834233284,DNK,Denmark
7.970891953,DNK,Denmark
7.683358669,DNK,Denmark
7.770515442,DNK,Denmark
7.78823185,DNK,Denmark
7.519909382,DNK,Denmark
7.588606834,DNK,Denmark
7.507559299,DNK,Denmark
7.514424801,DNK,Denmark
7.55778265,DNK,Denmark
5.009330273,DJI,Djibouti
4.905925274,DJI,Djibouti
5.005810738,DJI,Djibouti
4.369193554,DJI,Djibouti
5.087967873,DOM,Dominican Republic
5.081305981,DOM,Dominican Republic
4.84230566,DOM,Dominican Republic
5.431613922,DOM,Dominican Republic
4.735021114,DOM,Dominican Republic
5.396535397,DOM,Dominican Republic
4.753311157,DOM,Dominican Republic
5.015515327,DOM,Dominican Republic
5.387331963,DOM,Dominican Republic
5.061862469,DOM,Dominican Republic
5.238698483,DOM,Dominican Republic
5.02419138,ECU,Ecuador
4.995875359,ECU,Ecuador
5.296513081,ECU,Ecuador
6.021803379,ECU,Ecuador
5.838051319,ECU,Ecuador
5.795088291,ECU,Ecuador
5.960716248,ECU,Ecuador
6.019206047,ECU,Ecuador
5.945851803,ECU,Ecuador
5.964075089,ECU,Ecuador
